age,sex,job,saving_accounts,checking_account,credit_amount,duration,purpose,marital_status,education_level,number_of_dependents,income,employment_status,existing_loans_count,credit_history_length,previous_defaults,credit_score,installment_rate,loan_type,interest_rate,collateral,default,loan_eligibility
41,male,unskilled,rich,moderate,18413,,car,married,graduate,1,148166,employed,1,11,0,553,0,car,15.34,property,good,not eligible
61,female,unskilled,quite rich,little,17965,7,radio/TV,single,graduate,0,26158,retired,1,16,0,,0.1,education,,none,bad,not eligible
47,female,skilled,moderate,rich,8494,71,car,single,high school,1,124523,employed,1,4,0,487,0,car,17.72,property,bad,not eligible
,male,skilled,moderate,little,4031,36,repairs,divorced,high school,2,37209,employed,1,7,0,636,0,education,13.16,none,bad,not eligible
19,male,skilled,moderate,little,9843,42,,married,phd,0,23763,self-employed,2,19,0,649,0.01,personal,13.02,property,bad,not eligible
38,male,skilled,little,moderate,33984,29,domestic appliances,single,high school,0,,employed,1,4,,399,0.02,education,15.26,none,bad,not eligible
50,male,skilled,moderate,little,6729,49,other,single,postgraduate,0,110408,employed,2,10,0,756,0,education,16.67,vehicle,bad,not eligible
29,male,management,,rich,29275,46,business,divorced,graduate,0,95776,employed,0,25,0,717,0.01,car,7.56,none,bad,not eligible
39,female,unskilled,little,little,27266,56,other,divorced,high school,1,113423,employed,0,27,0,456,0,business,16.1,guarantor,bad,not eligible
61,female,skilled,moderate,little,17088,,education,single,graduate,1,128747,employed,3,18,0,501,0,car,10.13,,bad,not eligible
42,female,management,moderate,little,23668,45,radio/TV,married,,,77344,employed,1,20,0,,0.01,mortgage,10.76,none,bad,not eligible
66,female,unskilled,quite rich,moderate,45289,53,domestic appliances,married,graduate,3,,employed,0,27,0,339,0.01,,6.17,property,bad,not eligible
44,male,unskilled,little,moderate,44569,9,business,,postgraduate,2,141717,employed,1,18,0,605,0.03,business,13.83,,bad,not eligible
59,male,management,quite rich,moderate,37362,65,business,married,high school,1,71264,self-employed,2,3,0,446,0.01,mortgage,6.4,property,bad,not eligible
45,male,skilled,little,little,22366,44,radio/TV,married,graduate,0,93471,,1,10,0,541,0.01,business,18.7,none,bad,not eligible
33,male,skilled,,little,10024,10,other,divorced,postgraduate,1,130050,employed,2,18,0,478,0.01,mortgage,14.31,vehicle,bad,not eligible
32,female,unskilled,little,moderate,23038,11,radio/TV,single,postgraduate,0,142185,employed,1,4,0,348,0.01,car,19.85,property,bad,not eligible
64,female,skilled,moderate,little,43309,19,other,single,graduate,1,59213,employed,1,1,0,479,0.04,business,8.68,,bad,not eligible
68,male,skilled,little,rich,21726,17,business,married,graduate,0,145664,employed,1,24,0,615,0.01,business,15.19,property,bad,not eligible
61,male,unskilled,moderate,little,8603,67,repairs,,high school,1,122695,employed,3,18,0,508,,personal,19.47,property,bad,not eligible
69,female,skilled,quite rich,moderate,18902,32,education,divorced,high school,0,34552,retired,0,25,0,787,0.02,personal,9.48,property,good,eligible
20,male,unskilled,moderate,little,15590,59,repairs,single,high school,0,71898,self-employed,1,29,0,546,0,education,6.44,property,bad,not eligible
54,male,skilled,,moderate,16415,17,furniture,married,high school,,62118,unemployed,1,16,,818,0.02,personal,14.51,vehicle,good,not eligible
68,female,,quite rich,little,41977,13,repairs,single,high school,0,29744,employed,3,20,0,736,0.11,business,10.49,vehicle,bad,not eligible
24,female,unskilled,quite rich,little,34706,21,business,married,high school,2,32046,unemployed,0,19,0,842,0.05,education,9.1,property,bad,not eligible
38,male,skilled,moderate,little,22011,57,radio/TV,,phd,2,91365,,2,17,,648,0,car,19.9,none,bad,not eligible
26,male,unskilled,little,little,15529,31,car,married,graduate,0,117908,self-employed,3,14,0,818,0,education,16.31,property,bad,not eligible
56,female,self-employed,quite rich,little,31331,13,car,married,graduate,0,74932,employed,2,,0,686,0.03,mortgage,12.28,guarantor,bad,not eligible
35,male,unskilled,moderate,moderate,24031,50,radio/TV,single,phd,0,136464,self-employed,1,27,0,,0,education,5.75,none,bad,eligible
21,male,,little,moderate,5017,24,repairs,single,high school,2,118229,self-employed,0,11,0,717,0,personal,7.87,property,bad,not eligible
42,female,unskilled,,moderate,22461,22,radio/TV,,graduate,1,33084,employed,1,7,0,643,0.03,car,9.48,vehicle,bad,not eligible
31,male,skilled,quite rich,moderate,27335,70,furniture,married,graduate,1,46398,employed,1,24,0,337,0.01,mortgage,,,bad,not eligible
67,female,self-employed,little,moderate,28225,34,,single,,1,107219,employed,1,5,0,665,0.01,education,12.46,guarantor,bad,not eligible
26,male,unskilled,rich,little,25857,19,other,single,graduate,0,146272,employed,0,23,0,680,0.01,car,,none,bad,not eligible
43,female,self-employed,little,little,44173,22,radio/TV,single,high school,0,118987,self-employed,1,17,0,425,0.02,personal,19.15,property,bad,not eligible
19,male,unskilled,quite rich,little,1744,18,other,divorced,high school,0,12039,employed,2,10,1,475,0.01,car,13.14,none,bad,not eligible
37,male,management,,moderate,2916,68,other,single,high school,0,99374,employed,1,5,0,400,0,car,5.3,,bad,not eligible
45,male,skilled,moderate,little,48561,38,car,single,,,109611,self-employed,3,16,0,790,0.01,mortgage,15.52,none,bad,not eligible
64,male,management,quite rich,little,6990,,education,,graduate,1,147706,employed,3,9,0,492,0,business,6.07,guarantor,bad,not eligible
24,female,skilled,moderate,moderate,12183,42,radio/TV,married,graduate,0,74899,employed,1,18,0,380,0,personal,15.82,none,good,eligible
61,female,skilled,moderate,little,6339,51,furniture,single,graduate,2,11724,employed,0,14,0,754,0.01,mortgage,15.52,none,bad,not eligible
25,male,unskilled,little,rich,25492,29,other,widowed,high school,0,97590,unemployed,1,15,0,633,,mortgage,19.77,none,bad,not eligible
64,male,unskilled,little,rich,48118,19,,married,graduate,1,143527,employed,,22,,428,,,,property,bad,not eligible
52,female,self-employed,little,little,45438,10,furniture,married,graduate,0,122966,unemployed,0,27,0,305,0.04,business,7.16,none,bad,not eligible
31,female,skilled,moderate,little,45235,58,education,single,high school,1,82628,employed,1,28,0,,0.01,business,6.38,none,bad,not eligible
34,male,skilled,little,little,38277,35,radio/TV,,graduate,0,50456,,1,28,0,320,0.02,education,6.08,property,bad,not eligible
53,male,management,little,moderate,47580,65,other,single,high school,1,52773,employed,1,16,0,494,0.01,education,17.15,guarantor,bad,not eligible
67,male,skilled,moderate,little,9424,33,car,,high school,2,144133,retired,2,21,1,327,0,personal,15.78,guarantor,bad,not eligible
57,female,self-employed,moderate,,16421,31,education,,postgraduate,0,20586,employed,2,6,,749,0.03,,,none,good,not eligible
21,male,management,quite rich,moderate,24760,23,business,,,2,104479,employed,2,18,1,791,0.01,business,9.64,property,bad,eligible
19,female,skilled,little,little,28880,,domestic appliances,married,graduate,0,,self-employed,1,26,0,729,0.01,business,17.05,property,bad,not eligible
23,male,management,little,little,19311,13,furniture,married,graduate,0,100507,retired,1,7,0,534,0.01,business,6.4,property,bad,not eligible
,female,unskilled,rich,moderate,6221,23,education,single,graduate,1,144835,self-employed,1,7,0,723,0,mortgage,18.56,none,good,eligible
21,male,skilled,little,little,41691,63,other,married,graduate,1,55209,employed,0,4,1,436,0.01,business,5.78,property,bad,not eligible
46,male,skilled,quite rich,moderate,5430,37,furniture,married,graduate,2,68434,employed,1,10,0,381,0,mortgage,16.82,vehicle,good,eligible
35,male,unskilled,quite rich,little,4853,54,car,single,graduate,2,45656,employed,2,1,0,617,0,mortgage,9.61,none,bad,not eligible
43,female,management,quite rich,moderate,8332,53,furniture,married,phd,0,,self-employed,0,17,0,664,0,personal,7.72,none,bad,eligible
61,male,self-employed,little,rich,23451,70,furniture,single,phd,,,employed,3,20,0,699,0.01,car,15.57,none,bad,not eligible
51,male,skilled,quite rich,rich,49716,38,business,married,graduate,1,82035,employed,0,3,0,655,0.02,education,18.44,vehicle,bad,not eligible
27,male,skilled,quite rich,little,8270,55,furniture,single,,1,109608,employed,2,11,0,,0,education,16.46,vehicle,bad,not eligible
53,male,self-employed,moderate,little,26025,9,education,married,graduate,1,86840,employed,0,3,1,534,0.03,personal,9.7,none,bad,not eligible
31,female,skilled,little,moderate,17056,41,other,widowed,,,105771,unemployed,0,4,0,334,0,personal,10.3,vehicle,bad,not eligible
48,female,skilled,little,little,15594,33,furniture,widowed,high school,2,55332,self-employed,0,16,0,638,0.01,business,7.84,none,bad,not eligible
65,female,skilled,little,little,8435,8,other,single,graduate,1,130536,self-employed,,22,0,753,0.01,business,17.36,property,bad,not eligible
32,male,self-employed,moderate,rich,3175,11,radio/TV,married,postgraduate,1,87533,employed,1,18,0,778,0,business,6.61,none,good,eligible
25,female,skilled,moderate,little,31780,50,furniture,,postgraduate,0,140194,self-employed,3,9,0,558,0,mortgage,,none,bad,not eligible
31,male,management,little,little,11740,28,radio/TV,divorced,postgraduate,1,118618,employed,0,13,0,352,0,mortgage,14.02,vehicle,bad,not eligible
,male,management,moderate,little,,12,domestic appliances,married,high school,1,,employed,1,14,0,742,0,business,13.83,property,bad,not eligible
57,male,skilled,little,,7044,66,furniture,single,graduate,0,105596,,1,25,0,719,0,mortgage,17.57,none,bad,not eligible
38,male,skilled,moderate,moderate,17832,70,repairs,single,high school,0,61020,employed,1,13,0,548,0,personal,15.01,none,bad,not eligible
33,female,management,,little,27336,11,domestic appliances,divorced,high school,2,112416,employed,1,15,0,592,0.02,business,9.56,guarantor,bad,not eligible
62,female,skilled,little,little,14888,29,other,married,graduate,2,132610,employed,1,7,0,506,0,education,10.24,none,bad,not eligible
35,,management,little,little,48227,,repairs,single,graduate,1,142534,self-employed,0,8,0,400,0.01,education,7.6,property,bad,not eligible
64,male,self-employed,little,moderate,2194,50,furniture,single,graduate,0,34082,self-employed,2,7,0,514,,mortgage,11.96,,bad,not eligible
41,male,skilled,moderate,little,21641,56,education,single,graduate,0,142937,employed,2,10,1,599,0,education,6.65,none,bad,not eligible
43,male,management,quite rich,rich,23166,50,repairs,married,high school,0,46777,employed,1,11,0,734,0.01,business,14.8,vehicle,bad,eligible
42,,management,rich,little,48021,68,radio/TV,divorced,high school,3,24538,employed,2,13,0,538,0.03,education,7.54,guarantor,bad,not eligible
62,male,management,little,rich,49794,34,other,divorced,,3,67125,employed,1,17,0,423,0.02,personal,17.96,none,bad,not eligible
58,male,skilled,rich,little,39269,30,domestic appliances,married,high school,0,100583,employed,1,22,0,,,mortgage,15.51,none,bad,not eligible
46,male,unskilled,little,moderate,39920,15,domestic appliances,married,high school,4,144249,employed,2,11,0,448,0.02,education,18.37,vehicle,bad,not eligible
32,male,,moderate,little,48253,40,radio/TV,married,,0,37502,unemployed,1,3,1,356,0.03,mortgage,6.31,property,bad,not eligible
62,female,skilled,,little,37849,60,,single,phd,,139988,employed,1,12,0,455,0,,16.98,property,bad,not eligible
18,female,skilled,quite rich,rich,38355,30,furniture,widowed,graduate,1,29249,employed,0,20,0,,,education,18.21,none,bad,not eligible
42,female,management,moderate,rich,1960,50,furniture,single,high school,2,13197,self-employed,0,26,0,414,0,business,5.67,none,bad,eligible
24,female,skilled,moderate,little,37155,17,education,single,high school,0,45229,self-employed,0,,0,630,0.05,car,19.99,none,bad,not eligible
26,male,skilled,quite rich,moderate,48146,9,business,widowed,phd,0,34166,employed,1,9,0,490,0.16,,9.51,property,bad,not eligible
41,female,unskilled,,moderate,41752,22,business,single,postgraduate,1,149764,,1,20,1,833,0.01,personal,8.18,none,bad,not eligible
18,female,management,little,rich,10335,70,repairs,,graduate,0,116298,,1,10,0,665,0,car,11.22,property,bad,not eligible
,male,skilled,quite rich,little,48911,58,other,divorced,high school,1,11775,unemployed,0,24,0,793,0.07,,5.13,property,bad,not eligible
25,male,unskilled,little,,11410,62,education,married,high school,0,42656,employed,0,11,0,,0,mortgage,18.29,vehicle,bad,not eligible
41,female,skilled,little,little,17721,33,domestic appliances,single,high school,0,10606,unemployed,1,17,0,548,0.05,personal,9.03,guarantor,bad,not eligible
28,male,management,moderate,little,26113,21,radio/TV,single,graduate,0,67281,employed,1,1,0,336,0.02,education,12.82,,bad,not eligible
68,male,skilled,moderate,rich,31853,26,domestic appliances,single,high school,1,17375,unemployed,0,18,0,596,0.07,personal,14.35,property,bad,not eligible
34,male,unskilled,little,little,39114,47,car,married,phd,1,,,0,,0,,0.01,business,16.87,none,bad,not eligible
25,male,self-employed,little,little,8963,59,,married,high school,1,137325,employed,1,27,0,520,0,car,8.75,none,bad,not eligible
52,,management,little,moderate,13836,37,radio/TV,married,graduate,2,,self-employed,4,19,0,785,0.03,car,,property,bad,not eligible
52,male,self-employed,moderate,moderate,27034,43,domestic appliances,married,high school,2,86992,unemployed,0,9,0,698,0.01,business,6.76,property,bad,not eligible
50,male,skilled,,little,2869,43,domestic appliances,married,graduate,3,141855,employed,0,25,0,832,0,car,15.56,none,bad,not eligible
22,male,skilled,rich,little,25881,59,business,married,high school,0,17560,,0,15,0,351,,car,18.79,guarantor,bad,not eligible
59,female,management,moderate,rich,47260,65,education,divorced,postgraduate,1,39168,employed,0,11,0,730,0.02,business,6.28,,bad,not eligible
56,male,skilled,little,little,20058,52,car,single,graduate,2,136625,employed,1,8,0,507,0,mortgage,6.75,property,bad,not eligible
58,male,management,rich,moderate,22869,17,furniture,married,high school,1,109436,employed,1,2,0,718,0.01,car,13.36,property,bad,eligible
45,male,skilled,moderate,moderate,34150,58,education,married,postgraduate,,88598,unemployed,0,0,1,759,0.01,mortgage,5.7,property,bad,not eligible
24,female,skilled,little,little,31454,38,other,single,graduate,2,85924,employed,3,4,0,818,0.01,personal,7.81,property,bad,not eligible
26,male,unskilled,,rich,25907,33,car,single,postgraduate,1,15318,self-employed,2,7,0,468,0.05,personal,7.85,none,bad,not eligible
25,male,unskilled,quite rich,moderate,36439,8,other,single,postgraduate,2,64714,self-employed,1,16,1,439,0.07,car,12.22,guarantor,bad,not eligible
29,female,unskilled,quite rich,little,,31,car,married,postgraduate,1,40544,employed,2,0,0,646,0.02,personal,8.73,guarantor,bad,not eligible
51,,unskilled,quite rich,moderate,2540,59,other,single,high school,2,30823,unemployed,1,12,0,357,0,business,12.13,property,bad,eligible
50,male,self-employed,little,,23616,45,education,divorced,high school,1,114555,retired,0,5,0,748,0,car,12.82,none,bad,not eligible
65,female,unskilled,little,moderate,26670,71,radio/TV,married,phd,0,26978,employed,,14,,484,0.01,business,15.96,none,bad,not eligible
40,male,skilled,moderate,rich,6872,52,education,divorced,graduate,1,144396,self-employed,0,6,0,477,0,mortgage,,none,bad,eligible
41,male,management,,little,22869,7,domestic appliances,single,high school,1,132418,unemployed,3,29,0,786,0.02,education,12.56,property,bad,not eligible
54,male,skilled,moderate,little,8062,47,repairs,single,postgraduate,,144006,employed,1,23,0,764,0,education,10.33,none,bad,not eligible
52,male,unskilled,quite rich,little,45044,39,business,single,high school,4,15033,employed,1,7,1,426,0.08,car,8.88,none,bad,not eligible
61,female,management,quite rich,little,6400,26,domestic appliances,single,graduate,0,115067,self-employed,1,2,0,344,0,business,14.52,property,bad,not eligible
57,male,skilled,moderate,little,41233,49,,divorced,postgraduate,2,147158,employed,4,14,0,489,0.01,education,19.14,vehicle,bad,not eligible
39,male,management,quite rich,rich,22200,7,car,single,postgraduate,0,28894,self-employed,1,3,0,661,0.11,car,16.47,none,bad,eligible
44,female,management,quite rich,moderate,41733,64,furniture,married,high school,3,14687,self-employed,1,8,0,665,0.04,,8.09,property,bad,not eligible
52,female,self-employed,moderate,moderate,1089,21,car,single,graduate,1,143959,employed,0,,1,492,0,education,18.4,property,good,eligible
18,male,skilled,little,moderate,5563,,repairs,married,graduate,1,144115,employed,2,20,0,593,0,personal,,guarantor,bad,not eligible
52,female,skilled,little,moderate,20517,31,,married,graduate,2,27789,employed,1,13,1,826,0.02,car,6.92,,bad,not eligible
54,male,skilled,little,little,18874,21,car,married,high school,1,66784,employed,1,26,0,448,0.01,education,15.69,property,bad,not eligible
64,female,unskilled,little,rich,23399,28,car,married,graduate,0,16115,self-employed,1,29,0,448,0.05,car,9.34,,bad,not eligible
31,,management,little,little,49508,47,education,single,graduate,0,38821,employed,0,8,0,550,0.03,personal,12.37,guarantor,bad,not eligible
20,female,unskilled,little,rich,,42,education,divorced,graduate,3,32879,employed,3,11,1,734,0,car,9.5,vehicle,bad,not eligible
18,male,skilled,moderate,moderate,14098,11,business,married,postgraduate,1,127177,employed,0,4,0,513,0.01,personal,6.26,none,good,eligible
22,male,management,rich,little,3366,42,domestic appliances,married,graduate,3,59157,self-employed,2,,0,334,0,education,16.53,property,bad,not eligible
43,male,skilled,little,moderate,42004,27,,married,high school,1,70262,employed,,24,0,680,0.02,education,17.43,vehicle,bad,not eligible
31,male,skilled,quite rich,,30632,11,business,divorced,graduate,0,,retired,1,5,0,526,0.05,education,8.48,property,bad,not eligible
56,male,skilled,moderate,little,29904,37,car,married,postgraduate,0,111146,self-employed,1,18,0,519,0.01,personal,8.59,none,bad,not eligible
44,female,management,little,moderate,,22,business,married,high school,1,131535,self-employed,0,27,0,439,0.02,mortgage,11.45,none,bad,not eligible
26,male,skilled,rich,little,1137,43,education,married,graduate,2,102384,employed,1,4,0,564,0,personal,17.17,property,bad,not eligible
32,male,management,moderate,little,25116,22,domestic appliances,single,high school,1,122453,employed,1,0,0,635,0.01,personal,6.16,none,bad,not eligible
32,female,unskilled,little,rich,38150,42,car,married,high school,1,110277,employed,1,24,0,578,,business,17.13,none,bad,not eligible
43,male,management,quite rich,moderate,16328,28,other,married,postgraduate,2,36520,employed,2,9,1,631,0.02,education,18.84,vehicle,good,eligible
59,female,management,little,rich,26696,54,car,married,postgraduate,1,24833,self-employed,2,13,0,494,0.02,,13.42,none,bad,not eligible
30,male,unskilled,moderate,moderate,36940,66,business,married,graduate,1,71475,employed,3,25,0,342,0.01,business,5.91,property,bad,not eligible
68,male,skilled,little,little,45597,54,domestic appliances,single,graduate,0,,employed,0,26,0,557,0.05,mortgage,9.04,vehicle,bad,not eligible
49,male,unskilled,quite rich,moderate,48235,66,other,married,postgraduate,2,99472,unemployed,0,22,0,741,0.01,car,6.67,property,bad,not eligible
56,male,management,moderate,moderate,32522,37,repairs,divorced,phd,1,112132,employed,1,16,0,595,0.01,education,8.89,none,bad,not eligible
66,female,skilled,moderate,rich,32702,68,furniture,divorced,graduate,1,97005,employed,1,29,0,736,0,education,17.18,none,bad,not eligible
69,male,skilled,little,little,29204,12,repairs,single,graduate,1,58538,employed,1,26,0,697,0.04,personal,5.84,property,bad,not eligible
49,male,unskilled,moderate,rich,26375,27,other,married,graduate,1,73795,unemployed,0,10,,424,0.01,mortgage,9.26,guarantor,bad,not eligible
21,male,unskilled,quite rich,rich,24141,11,other,married,high school,0,113041,employed,2,,0,796,0.02,mortgage,12.75,vehicle,bad,eligible
47,male,unskilled,moderate,moderate,37979,66,radio/TV,married,graduate,,92159,unemployed,1,17,0,663,0.01,mortgage,18.11,property,bad,not eligible
54,female,skilled,moderate,rich,13735,19,,married,postgraduate,1,133796,employed,1,18,0,446,0.01,mortgage,8.75,none,good,eligible
,male,skilled,moderate,little,22527,21,domestic appliances,divorced,postgraduate,3,87166,employed,0,3,1,759,0.01,,16.67,none,bad,not eligible
56,female,management,quite rich,rich,33427,8,business,married,postgraduate,1,111542,self-employed,2,11,0,470,0.04,personal,,property,bad,not eligible
62,female,skilled,moderate,moderate,43412,14,repairs,married,high school,,10553,self-employed,1,13,0,609,0.29,business,15.15,none,bad,not eligible
32,male,skilled,quite rich,little,,52,business,single,graduate,0,118381,employed,2,17,0,651,0.01,business,17.93,vehicle,bad,not eligible
,female,self-employed,quite rich,rich,43191,47,radio/TV,single,high school,1,23612,unemployed,2,25,0,647,0.04,car,5.4,none,bad,not eligible
46,male,management,moderate,little,27522,47,car,single,high school,1,86673,employed,2,0,0,650,0.01,personal,12.95,none,bad,not eligible
53,male,self-employed,little,little,6438,28,car,,,3,74459,self-employed,0,26,0,440,0,mortgage,16.21,none,bad,not eligible
30,male,skilled,moderate,moderate,44622,8,furniture,married,graduate,1,35804,self-employed,0,19,0,469,0.16,,18.27,none,bad,not eligible
49,,skilled,quite rich,little,43192,6,business,married,postgraduate,1,51154,employed,0,24,0,524,0.14,mortgage,,property,bad,not eligible
24,female,unskilled,little,little,33848,8,radio/TV,married,high school,0,120183,self-employed,0,29,,520,0.04,car,10.12,none,bad,not eligible
68,male,management,moderate,moderate,32709,54,business,married,graduate,2,12693,employed,0,10,0,664,0.05,education,6.18,property,bad,not eligible
39,female,unskilled,quite rich,little,37742,60,education,,graduate,1,40971,unemployed,0,26,0,412,0.02,business,17.52,property,bad,not eligible
,male,skilled,little,little,10441,9,business,single,high school,0,136633,retired,0,24,0,548,0.01,car,17.86,none,bad,not eligible
19,male,skilled,moderate,little,7573,36,business,married,high school,1,90078,employed,0,27,0,,0,business,12.25,none,bad,not eligible
59,male,skilled,little,little,42930,71,education,single,high school,0,84227,employed,3,24,0,748,0.01,mortgage,5.31,vehicle,bad,not eligible
62,female,skilled,little,moderate,38327,69,education,single,graduate,2,88990,self-employed,0,18,0,347,0.01,mortgage,6.53,none,bad,not eligible
23,female,unskilled,quite rich,moderate,46725,36,repairs,single,phd,,96034,,0,0,0,650,0.01,car,14.37,property,bad,not eligible
45,male,skilled,little,rich,37596,68,other,single,postgraduate,1,95567,self-employed,0,0,0,,0.01,education,19.74,none,bad,not eligible
,male,skilled,little,moderate,1421,71,,single,,1,50677,employed,2,29,0,472,0,education,17.58,property,bad,not eligible
61,male,self-employed,quite rich,little,,36,radio/TV,married,postgraduate,2,78402,unemployed,1,2,0,444,0,business,16.97,property,bad,not eligible
61,male,management,little,rich,4962,52,repairs,single,postgraduate,0,108104,,1,25,0,750,0,mortgage,,none,bad,not eligible
37,male,self-employed,rich,moderate,21460,27,car,married,graduate,0,32291,employed,0,13,0,844,0.02,mortgage,19.78,guarantor,bad,eligible
47,female,management,rich,moderate,30768,51,,single,graduate,0,38497,self-employed,1,7,0,620,0.02,education,17.37,none,bad,not eligible
28,male,skilled,little,moderate,20318,63,repairs,single,graduate,4,125135,self-employed,1,14,0,447,0,mortgage,10.03,none,bad,not eligible
45,male,unskilled,little,rich,40001,66,education,married,postgraduate,0,41969,employed,0,3,0,425,0.01,mortgage,16.23,none,bad,not eligible
,male,skilled,quite rich,moderate,45042,51,,divorced,high school,0,,employed,0,10,0,765,0.02,car,11.49,guarantor,bad,not eligible
56,,skilled,moderate,little,42578,6,other,divorced,high school,1,63312,self-employed,0,7,0,428,0.11,education,14.91,none,bad,not eligible
50,female,skilled,little,moderate,2365,30,radio/TV,widowed,postgraduate,3,18267,self-employed,1,29,0,374,0,education,19.55,property,bad,not eligible
18,male,skilled,quite rich,little,31206,66,domestic appliances,,high school,0,49812,self-employed,0,6,1,785,0.01,personal,8.7,property,bad,not eligible
44,female,skilled,little,,29387,19,business,married,phd,2,144847,unemployed,1,29,0,515,0.01,education,16.93,none,bad,not eligible
69,male,skilled,quite rich,little,31011,50,radio/TV,married,graduate,2,135562,employed,0,23,0,536,0,education,13.86,property,bad,not eligible
30,male,skilled,little,little,33979,44,radio/TV,married,high school,0,86924,self-employed,,1,,,0.01,personal,19.25,property,bad,not eligible
58,male,unskilled,little,little,40978,71,education,single,graduate,2,,self-employed,,,0,482,0.02,mortgage,7.02,property,bad,not eligible
20,male,management,little,little,26901,37,furniture,married,postgraduate,3,,employed,1,24,1,494,0.01,mortgage,15.8,none,bad,not eligible
56,male,unskilled,rich,moderate,29002,63,repairs,single,high school,1,,employed,1,25,0,549,0.01,business,5.56,guarantor,bad,not eligible
23,female,unskilled,moderate,moderate,46714,61,education,married,postgraduate,2,13534,employed,2,26,0,746,,mortgage,8.7,none,bad,not eligible
25,female,skilled,quite rich,rich,13894,,business,married,postgraduate,2,71807,self-employed,3,21,0,371,0.02,education,,property,good,not eligible
44,female,skilled,,little,33658,,education,single,high school,1,61670,self-employed,0,29,0,351,0.01,business,11.48,vehicle,bad,not eligible
26,male,skilled,little,moderate,9762,43,business,single,high school,0,85465,self-employed,,18,0,795,0,business,19.48,none,bad,not eligible
,male,skilled,little,rich,4987,8,education,single,,0,64720,employed,0,22,0,454,0.01,mortgage,6.01,none,bad,not eligible
50,female,skilled,moderate,little,27841,10,domestic appliances,widowed,high school,3,107619,unemployed,2,8,0,619,0.03,business,7.53,none,bad,not eligible
68,male,skilled,moderate,moderate,43888,29,other,single,high school,1,13739,self-employed,1,15,0,600,0.11,personal,8.05,vehicle,bad,not eligible
59,male,self-employed,moderate,moderate,14070,59,furniture,single,graduate,1,43107,employed,0,7,0,,0.01,business,11.36,property,bad,eligible
61,male,self-employed,little,little,30105,39,domestic appliances,divorced,graduate,0,143934,employed,3,29,1,325,0.01,car,5.91,vehicle,bad,not eligible
41,female,skilled,,rich,6566,44,car,married,postgraduate,1,92533,unemployed,1,7,,526,0,personal,19.48,none,good,not eligible
32,male,skilled,little,moderate,,53,other,,high school,2,27487,,0,10,0,696,0.03,education,13.4,guarantor,bad,not eligible
49,male,management,rich,,27223,54,other,single,,2,38353,employed,0,6,0,508,0.01,mortgage,17.2,none,bad,not eligible
49,female,unskilled,little,little,4072,39,other,single,graduate,2,18984,employed,1,20,0,713,0.01,mortgage,16.59,vehicle,bad,not eligible
